Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,82.48127741,90.36857863,92.58942118,94.1423743,92.57829779,98.60414704,104.4220547,114.2098817,114.4149675,125.8803117,130.2181608,124.5339631,87.77376519,109.6917268,164.9863936,249.804254,126.6930442,117.8877714,158.3242552,181.1307067,206.0757143,224.2413924,199.5959446,184.7067729,193.435021,222.2201804,212.1489939,231.4995845,247.901466,263.0057208,283.0537371,272.0649485,273.4650725,280.7572745,280.6030318,309.4586808,371.9179377,379.2849177,385.6168818,388.0956843,396.6707302,394.65641,393.8864223,426.7488075,455.6140169,480.0858508,490.3880265,537.9554928,613.062041,679.2114774,757.3852804,837.3369447,859.6805364,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485928,2551.017738,2593.416117
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,883.7365783,1007.344545,1278.525114,1149.89464,2259.259226,1470.192593,1361.409384,1820.448664,1660.908913,1621.262107,1770.907049,2092.982886,2719.494369,3389.687434,3899.825963,4523.146558,5888.570814,7271.303389,6988.273163,6853.948055,7849.580613,7431.957895,7795.980921,8069.600057,7268.654455,7822.499233,8696.689304,9849.383972,10353.72046,10760.21198,12966.14575,13999.19495,15853.20864,17596.01737
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,1741.822454,1829.740705,2205.917004,2981.092531,3873.716291,3880.440472,5310.191326,6358.420842,6925.988932,7890.829825,9732.725872,10556.50917,10712.15294,10598.84272,10696.93311,9648.65643,7776.956577,8332.914254,8771.785353,8833.411343,9342.538914,10434.1324,10460.15832,11151.8715,11629.35952,11900.93178,12091.78022,12254.66626,11625.03438,12123.35347,14214.48368,13573.23399,13501.47088,14486.0269,15963.94932,17966.16578,19267.28262,20908.40425,23299.49928,19465.31407,21819.32911,25032.78677,26438.67332,26989.76011,26451.79656,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30470.52193,29290.12842,29653.56827
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1459.253825,1555.046608,1651.218619,1759.236922,1883.44386,2029.523413,2239.23964,2452.747632,2668.01498,3026.727572,2916.499984,3004.343566,3013.950167,3341.285217,3079.740141,2840.589653,2993.459238,3253.375434,3720.040579,4994.085352,5742.583625,6028.80641,6559.468693,7081.381948,8201.701338,9167.146875,9600.599528,10361.34881,10575.79715,11291.47645,11473.30084,11082.35286,10873.40475,10613.06588,10991.23467,11374.60567,11783.7972,20367.57327,21667.44882,24041.09332,24940.07751,25371.92377,26781.61959,26429.12478,26650.29342,28602.41819,29184.78651,30051.84896,29392.38244,27512.9131,27473.10043,27090.83768,28552.02427,27642.74198,29137.21756,30719.40542,30616.53632,31875.48817,32642.33532,33640.33699,26178.75376,30367.86058,34957.16133,38231.77448,39455.44665
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.882622,1373.371045,1118.175699,929.8721187,337.090896,502.365981,718.9337971,913.8133991,1006.704797,1134.60298,1338.480596,1387.893629,1606.546745,2033.947009,2452.686092,2739.610769,3166.128653,3931.489487,4841.693119,4539.918638,4506.478285,4982.693758,4693.788991,5034.566348,5206.065735,4662.258692,4928.56659,5345.019788,6047.847072,6122.375414,6130.31188,7295.343787,7655.59421,8663.023265,9358.78769
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706.640919,1805.455925,1658.086413,1589.510113,1460.007914,1370.699914,1427.268964,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.318093,5967.055951,5039.775609,5785.544919,6360.037502,6837.773396,6542.8558,7489.718947,7994.648061,7896.753883,8317.633999
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,307.4145083,320.0294767,331.7047943,341.9325838,356.2354084,383.1864353,411.9330199,426.2640714,392.2825661,401.5579905,441.7894689,481.0446415,529.3566475,618.5675023,804.7778636,906.4862774,729.4887808,865.7929015,982.6043702,1071.443696,1774.413699,1752.517038,1629.323229,1677.255482,1814.188598,1754.011087,1859.10214,2165.894314,2405.811166,2741.936384,2986.469621,3190.130988,3642.948063,3859.658444,3876.69327,4009.827525,4043.26518,4014.403806,4125.9254,4289.527759,4726.506755,4718.777151,4858.860626,4959.740124,5153.713083,5270.414791,5524.781678,5762.210233,5711.814589,5399.671,5461.40736,5596.052222,5732.665199,5957.349536,6128.120531,6154.622642,6140.867139,6071.854518,6011.990369,6171.614498,5238.540782,6142.989306,7068.21728,7424.758213,7681.244006
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,1715.314632,1773.995316,1824.182283,1821.790913,1986.64081,2064.853248,2369.472947,2722.462334,2975.954289,3214.049039,3574.169289,4012.773965,4458.080033,5090.091792,5891.887817,6493.628715,7259.91355,8383.031394,8904.942823,9664.218846,11426.60123,13687.79806,14442.79023,16236.7417,17866.91744,18713.88251,20996.97672,23042.74359,24958.1127,26282.6241,27665.52581,28195.70916,28761.96346,30950.07991,31543.06349,34115.34456,45063.61493,48736.6768,51629.28149,54388.34173,56542.95695,59490.2452,63358.56587,67106.80281,71692.1589,77628.10352,97781.4559,107395.6515,110268.5624,104711.7124,104111.8242,99049.01699,100213.4934,101704.4075,100961.5766,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106976.5462,112765.0817,121613.94,132604.4391,142855.3747
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,101.833417,108.5287654,116.2414743,122.5790676,135.2284638,147.0576896,159.3484824,176.0734778,195.4712701,207.1260197,221.5688783,233.3922189,261.9498871,257.2132532,418.1702995,468.0641161,519.7348211,599.988229,682.8010365,785.1988897,787.9073449,1000.592668,929.5521051,881.8676063,982.1096568,838.0800359,604.2572335,649.7087694,672.6072681,675.4699939,682.6768103,733.9354876,759.571135,756.637016,774.0356696,852.7540349,922.1132591,970.3518434,1022.145065,979.344495,975.7770604,930.1682272,888.221329,893.0137602,953.1918932,1020.123262,1202.711504,1354.549059,1692.672485,1731.181721,1929.783731,2315.521219,2575.598571,2870.02377,3041.435032,2996.012898,3035.873477,4048.401197,4206.855294,4203.154929,3580.967618,4010.760537,4219.461137,4274.708205,4421.166099
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,235.2660095,231.5640633,250.2005729,294.1696194,257.2597269,268.0287606,328.3437915,351.4726004,373.9254326,399.4984191,443.799485,500.001989,583.4920349,814.7317806,1044.769809,1200.558237,1389.749523,1562.29143,1732.500122,1869.713376,1958.571592,2079.709084,2137.625036,1461.255827,1419.731546,1556.129718,1854.037752,2006.002262,2140.650276,2818.99278,2619.801411,2258.10454,2127.29083,2348.906354,3298.714919,4756.750136,5179.13052,5299.397942,5105.892462,3493.57192,3766.547863,3176.289751,2855.940171,3090.606891,3663.822625,4827.781659,5934.145619,7409.690038,8908.333385,8678.658473,11403.284,13396.62632,12521.72385,12458.89034,12274.99416,8936.195589,8836.28546,10080.50787,9300.660729,9029.833044,7074.194075,7972.536961,9281.332821,10377.58977,10310.54888
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,346.5754568,366.1354991,377.4384564,420.5043895,413.6254322,433.2286798,462.0284526,508.1286195,505.8890661,566.833205,666.4750087,749.801351,856.0719731,1041.729563,1243.354175,1601.188833,1733.645408,1967.593444,2197.899062,2667.90751,4024.588566,4416.715199,4598.76264,4866.359991,5283.579441,5509.874603,6031.358608,6624.599395,7032.653708,7772.550228,7781.405733,7790.262294,7519.201435,7904.707624,8223.166812,8460.473809,9011.778848,9521.571274,10734.36372,11244.30877,11674.67365,11639.51605,11760.45247,12075.9587,12886.36653,14214.42022,15619.6006,17235.43964,17565.693,16294.90995,20610.51507,20508.14988,20804.115,20410.20654,20192.70841,20424.20875,20295.56721,20284.57621,21381.24263,21912.15012,19194.49197,21079.61453,24387.03873,25583.87878,26544.87073
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,1028.884503,1145.705922,1148.843032,1274.090379,1226.436989,1325.155984,1432.166007,1904.667605,2938.850957,15194.79231,15793.13126,18671.36241,21746.85591,23446.53412,33501.27827,58005.34248,48793.44226,45074.54992,38720.09393,36061.38153,31827.40596,18500.54086,21029.71898,18824.76373,20090.06902,23658.71663,23932.18973,23450.89641,22397.07374,22766.58718,26443.25647,25692.23573,25522.3975,17769.24635,19752.20133,20130.25723,18287.82723,18621.29226,20677.90011,24423.0947,29386.27038,34674.79952,36217.32907,42156.56858,30946.46738,34937.55554,46382.82743,46968.59712,44003.06443,41026.50842,30625.12877,26663.2973,28024.38246,30988.11903,30426.57307,26834.35922,31006.96363,36632.9281,32890.54918,33153.47389
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,200.3452298,207.6665601,212.3751508,230.90177,262.7773662,237.3507344,233.7215323,249.9353583,232.1723697,251.3788053,296.8805108,310.7704117,305.824659,328.2040169,325.545257,321.186831,364.6945696,449.0604439,488.8777574,461.6546188,488.3274315,400.6347052,415.7915226,407.3998425,467.0083121,530.1036769,552.8738914,630.4474101,638.2789623,685.4198306,771.9249114,812.2382108,895.7994899,1022.382403,1130.359346,1299.949386,1405.607162,1850.415704,1919.597749,1918.395992,2435.579806,2787.979676,2751.212886,2679.952172,2849.499986,2954.040819,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907,3570.61258,3711.32768,3831.325355,
