Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2025-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.3553275,572.7402609,356.35078,347.8706447,390.8799643,443.9248609,487.0686244,505.0358871,590.2399473,582.6698862,593.4505817,659.5889885,742.6511183,882.0301677,1130.087914,1557.484589,2041.652671,2962.702346,3777.668593,2820.592655,3041.344507,3349.553098,3511.563997,3680.166922,3852.118006,3512.393503,3524.424769,3869.053739,4196.005623,4597.228874,4268.680933,4685.179971,6571.974455,8159.08721,8556.21407
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8972.696365,9197.661968,8958.428667,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,,
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1213.670217,1374.820275,1705.14199,2053.103279,2310.196998,2569.181824,2846.993357,3270.78103,3814.314229,4629.456764,5424.368478,6466.156835,7187.904841,7590.754424,7956.474309,8153.737863,8624.620168,9351.487538,9034.475529,9756.08718,10336.25916,10906.87854,11342.33492,12027.49498,11539.18251,11658.69499,12173.23199,13037.88958,14368.57088,16173.81363,18204.5124,18786.67431,16472.24785,15217.39508,14911.72751,15639.80781,15051.51136,15532.10621,16077.63408,16556.85518,16965.72883,18273.42707,18896.37218,15369.60823,17348.6007,20105.19891,21494.5474,23542.45269
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1813.431099,1880.484895,1857.561273,1970.177484,2134.489461,2284.355827,2347.376566,2583.907524,2728.234261,2995.861199,3309.763063,3500.336032,3955.224304,4777.513169,6491.745216,7013.671598,7497.281754,7786.408041,8264.438904,9307.82128,10223.28867,11870.86331,12797.6759,11532.40281,12436.29691,11455.37971,11406.1093,11665.52983,14303.09305,17857.55206,18273.56153,18885.42745,18650.36755,17724.53995,18155.6282,20479.17483,22055.83849,23683.4949,21516.04031,20749.64438,21908.9968,19733.65101,20335.09602,23757.58985,30886.05009,34535.20727,36658.82435,41128.24766,49811.20672,42954.84949,52313.8939,62799.3895,68301.44025,68476.67885,62817.20618,56970.3613,50084.44406,54117.54772,57410.17373,55194.75851,51983.45237,60758.90444,65169.51911,65058.37731,64603.98563
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,939.9148147,1036.728204,1093.014191,1172.557446,1275.457153,1381.077258,1494.049114,1577.141477,1685.662117,1834.078078,2050.705154,2371.65248,2912.595771,3875.483056,4612.619208,5264.91772,5656.145138,6783.951422,8173.329263,9755.404456,10826.97183,9348.488324,9373.488206,9500.050704,8955.848292,9136.170926,13031.8281,16328.5613,17509.76587,17400.52266,21596.06822,22323.13125,24782.71188,23987.20372,25546.24605,30207.06743,29645.94513,26571.75236,27212.46429,27078.70816,24487.29747,24430.49598,26334.86222,32110.11597,36614.25065,38157.37023,40382.20783,46622.96229,51581.39824,47857.44466,46611.13934,51116.89535,48250.40591,50305.35458,51314.97226,43915.22802,45061.49939,47163.74258,51194.07498,49885.99474,48716.40989,53648.6438,52336.77252,56579.50418,58268.87877
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.271893,734.9442328,60.23512054,209.5309545,157.0635499,314.5580191,409.1855438,505.5162042,561.9068079,573.8935287,655.0972496,703.6709986,763.1088955,883.6925807,1045.013633,1578.36733,2472.957257,3851.330152,5574.468104,4950.39949,5843.533768,7189.818692,7495.865277,7875.345367,7890.840281,5500.503646,3880.685228,4147.198142,4739.794312,4805.753718,4229.910649,5408.045352,7770.594223,7133.02838,7283.849908
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,70.90510003,71.60192994,73.41959798,78.37119832,85.33372867,50.61330401,51.41287382,54.01814253,54.19497827,55.0588389,68.75435398,69.89828176,68.23219179,84.25810693,93.22400483,110.8848275,115.4921318,137.4480444,148.8232325,186.1522736,209.8057367,212.2303319,216.4361914,225.2095245,200.3757118,228.4405426,234.2812448,215.6083115,201.7404008,203.5789442,202.6294462,204.6682584,184.8689705,165.3441203,161.8925843,164.9153117,143.1567412,160.278342,144.4569483,127.5141958,134.5378618,132.1595545,120.9523086,111.4066828,125.1949652,147.2346193,161.8927556,166.1627449,189.5020746,198.431524,216.7277053,230.0697614,231.0987878,234.8447702,250.5444922,254.4025852,232.9378121,246.0607257,245.6616783,234.3106159,255.8324539,264.9803793,302.9925053,250.6272531,219.4248309
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1290.286072,1367.788852,1457.26517,1555.022932,1724.018942,1859.509987,1983.131198,2113.821941,2251.315759,2490.107173,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.377361,7243.047341,8426.946959,10289.76842,11810.61588,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51658.23829,50605.74967,55291.47545,56614.56795
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,89.85692465,92.08584813,90.77386101,95.71673698,99.7850246,105.1179869,107.6372119,106.5862419,111.2114942,110.3147947,108.8487795,106.8892927,127.927157,153.6094681,164.9465941,196.455786,197.7263611,207.0129622,249.8029262,310.6513871,358.0030542,319.718186,305.0040635,255.9836016,238.5744574,230.4341172,285.7715511,324.2537652,326.1797577,293.3219496,371.1016043,364.689296,301.773297,387.3100548,262.1298074,348.4352389,369.3943841,344.5504915,361.6019831,525.1305972,487.4241414,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442549,1059.413589,1071.525837,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266,1318.651581,1266.42711,1394.177847,1485.380189
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,69.15024561,72.24237871,77.15292793,78.90877367,80.91478877,82.07461599,82.83606649,84.62720114,84.97378484,86.75553957,81.70756322,84.51493757,99.63358149,114.1376695,124.6714355,152.9015296,155.4854227,175.9638645,223.879112,258.501729,277.5975314,248.7079739,239.0194836,211.9257405,187.8322243,194.0632263,247.4591346,280.2180922,301.1292147,293.1887037,338.5937591,333.7060551,348.5924439,324.1115767,187.2114237,229.0922945,242.7331714,223.8539585,249.5317329,292.8369587,248.9085269,259.4852234,285.6540876,362.3739,403.8128374,441.164148,455.5136556,514.6844512,619.4375333,601.5695207,624.9572522,725.0247677,731.4701389,759.7620652,764.8616751,630.1247508,663.7423648,709.0915359,777.4656185,764.8530778,825.2370388,895.5352884,827.3308435,873.4825897,981.9926498
